ID, name, year, director, writers, actors 
000034, The Forest(I), 2016, Jason Zada, Nick Antosca; Sarah Cornwell, Natalie Dormer; Taylor Kinney; Yukiyoshi Ozawa
000035, Legend(I), 2015, Brian Helgeland, Brian Helgeland; John Pearson, Tom Hardy; Emily Browning; Taron Egerton
000036, The Hunger Games: Mockingjay - Part 2, 2015, Francis Lawrence, Peter Craig; Danny Strong, Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth
000037, The Maze Runner, 2014, Wes Ball, Noah Oppenheim; Grant Pierce Myers, Dylan O'Brien; Kaya Scodelario; Will Poulter
000038, Captain America: Civil War, 2016, Anthony Russo; Joe Russo, Christopher Markus; Stephen McFeely, Scarlett Johansson; Elizabeth Olsen; Chris Evans
000039, Cinderella(I), 2015, Kenneth Branagh, Chris Weitz, Lily James; Cate Blanchett; Richard Madden
000040, Burnt(I), 2015, John Wells, Steven Knight; Michael Kalesniko, Bradley Cooper; Sienna Miller; Omar Sy
000041, Paper Towns, 2015, Jake Schreier, John Green; Scott Neustadter, Nat Wolff; Cara Delevingne; Austin Abrams
000042, Steve Jobs, 2015, Danny Boyle, Aaron Sorkin; Walter Isaacson, Michael Fassbender; Kate Winslet; Seth Rogen
000043, Suicide Squad, 2016, David Ayer, David Ayer; John Ostrander, Margot Robbie; Cara Delevingne; Viola Davis
000044, Southpaw, 2015, Antoine Fuqua, Kurt Sutter, Jake Gyllenhaal; Rachel McAdams; Oona Laurence
000045, Truth, 2015, James Vanderbilt, James Vanderbilt; Mary Mapes, Cate Blanchett; Robert Redford; Dennis Quaid
000046, Man Up(I), 2015, Ben Palmer, Tess Morris, Lake Bell; Simon Pegg; Henry Lloyd-Hughes
000047, Vacation(I), 2015, John Francis Daley; Jonathan M. Goldstein, Jonathan M. Goldstein; John Francis Daley, Ed Helms; Christina Applegate; Skyler Gisondo
000048, Hotel Transylvania, 2012, Genndy Tartakovsky, Peter Baynham; Robert Smigel, Adam Sandler; Kevin James; Andy Samberg
000049, Magic Mike XXL, 2015, Gregory Jacobs, Reid Carolin; Reid Carolin, Channing Tatum; Joe Manganiello; Matt Bomer
000050, Hell and Back, 2015, Tom Gianas; Ross Shuman, Tom Gianas; Hugh Sterbakov, Nick Swardson; Mila Kunis; Bob Odenkirk
000051, Guardians of the Galaxy, 2014, James Gunn, James Gunn; Nicole Perlman, Chris Pratt; Vin Diesel; Bradley Cooper
000052, Entourage, 2015, Doug Ellin, Doug Ellin; Doug Ellin, Adrian Grenier; Kevin Connolly; Jerry Ferrara
000053, Furious 7, 2015, James Wan, Chris Morgan; Gary Scott Thompson, Vin Diesel; Paul Walker; Dwayne Johnson
000054, X-Men: Apocalypse, 2016, Bryan Singer, Michael Dougherty; Dan Harris, Jennifer Lawrence; Michael Fassbender; Rose Byrne
000055, Knock Knock(I), 2015, Eli Roth, Eli Roth; Nicolás López, Keanu Reeves; Lorenza Izzo; Ana de Armas
000056, The Jungle Book, 2016, Jon Favreau, Justin Marks; Rudyard Kipling, Scarlett Johansson; Idris Elba; Bill Murray
000057, The Rocky Horror Picture Show, 1975, Jim Sharman, Richard O'Brien; Jim Sharman, Tim Curry; Susan Sarandon; Barry Bostwick
000058, Unbroken(I), 2014, Angelina Jolie, Joel Coen; Ethan Coen, Jack O'Connell; Miyavi; Domhnall Gleeson
000059, Navy SEALs vs. Zombies, 2015, Stanton Barrett, A.K. Waters; Matthew Carpenter, Stephanie Honoré; Jerome Andries; Sue-Lynn Ansari
000060, Gone Girl, 2014, David Fincher, Gillian Flynn; Gillian Flynn, Ben Affleck; Rosamund Pike; Neil Patrick Harris
000061, The Age of Adaline, 2015, Lee Toland Krieger, J. Mills Goodloe; Salvador Paskowitz, Blake Lively; Michiel Huisman; Harrison Ford
000062, Kingsman: The Secret Service, 2014, Matthew Vaughn, Jane Goldman; Matthew Vaughn, Colin Firth; Taron Egerton; Samuel L. Jackson
000063, The Last Witch Hunter, 2015, Breck Eisner, Cory Goodman; Matt Sazama, Vin Diesel; Rose Leslie; Elijah Wood
000064, The Angry Birds Movie, 2016, Clay Kaytis; Fergal Reilly, Jon Vitti, Peter Dinklage; Jason Sudeikis; Bill Hader
000065, Dope, 2015, Rick Famuyiwa, Rick Famuyiwa, Shameik Moore; Tony Revolori; Kiersey Clemons
000066, The Shawshank Redemption, 1994, Frank Darabont, Stephen King; Frank Darabont, Tim Robbins; Morgan Freeman; Bob Gunton
000067, The Loft, 2014, Erik Van Looy, Bart De Pauw; Wesley Strick, Karl Urban; James Marsden; Wentworth Miller
000068, Deadpool, 2016, Tim Miller, Rhett Reese; Paul Wernick, Morena Baccarin; Ryan Reynolds; Gina Carano
000069, War Room, 2015, Alex Kendrick, Alex Kendrick; Stephen Kendrick, Priscilla C. Shirer; T.C. Stallings; Karen Abercrombie
000070, Love(II), 2015, Gaspar Noé, Gaspar Noé, Aomi Muyock; Karl Glusman; Klara Kristin
000071, Ex Machina, 2015, Alex Garland, Alex Garland, Alicia Vikander; Domhnall Gleeson; Oscar Isaac
000072, Manson Family Vacation, 2015, J. Davis, J. Davis, Jay Duplass; Linas Phillips; Leonora Pitts
000073, Pay the Ghost, 2015, Uli Edel, Tim Lebbon; Dan Kay, Nicolas Cage; Sarah Wayne Callies; Veronica Ferres
000074, Exodus: Gods and Kings, 2014, Ridley Scott, Adam Cooper; Bill Collage, Christian Bale; Joel Edgerton; Ben Kingsley
000075, Hidden(I), 2015, Matt Duffer; Ross Duffer, Matt Duffer; Ross Duffer, Alexander Skarsgård; Andrea Riseborough; Emily Alyn Lind
000076, The Dark Knight, 2008, Christopher Nolan, Jonathan Nolan; Christopher Nolan, Christian Bale; Heath Ledger; Aaron Eckhart
000077, Meadowland, 2015, Reed Morano, Chris Rossi, Olivia Wilde; Juno Temple; Elisabeth Moss
000078, Fifty Shades of Grey, 2015, Sam Taylor-Johnson, Kelly Marcel; E.L. James, Dakota Johnson; Jamie Dornan; Jennifer Ehle
000079, The Man from U.N.C.L.E., 2015, Guy Ritchie, Guy Ritchie; Lionel Wigram, Henry Cavill; Armie Hammer; Alicia Vikander
000080, Pawn Sacrifice, 2014, Edward Zwick, Steven Knight; Stephen J. Rivele, Tobey Maguire; Liev Schreiber; Peter Sarsgaard
000081, Descendants, 2015, Kenny Ortega, Josann McGibbon; Sara Parriott, Dove Cameron; Cameron Boyce; Booboo Stewart
000082, Goosebumps, 2015, Rob Letterman, Darren Lemke; Scott Alexander, Jack Black; Dylan Minnette; Odeya Rush
000083, The Perfect Guy, 2015, David M. Rosenthal, Alan B. McElroy; Tyger Williams, Sanaa Lathan; Michael Ealy; Morris Chestnut
000084, The Dark Knight Rises, 2012, Christopher Nolan, Jonathan Nolan; Christopher Nolan, Christian Bale; Tom Hardy; Anne Hathaway
000085, Last Shift(I), 2014, Anthony DiBlasi, Anthony DiBlasi; Anthony DiBlasi, Juliana Harkavy; Joshua Mikel; J. LaRose
000086, Insurgent, 2015, Robert Schwentke, Brian Duffield; Akiva Goldsman, Shailene Woodley; Ansel Elgort; Theo James
000087, The Peanuts Movie, 2015, Steve Martino, Bryan Schulz; Charles M. Schulz, Francesca Capaldi; Madisyn Shipman; Noah Schnapp
000088, Prometheus(I), 2012, Ridley Scott, Jon Spaihts; Damon Lindelof, Noomi Rapace; Logan Marshall-Green; Michael Fassbender
000089, Ant-Man, 2015, Peyton Reed, Edgar Wright; Joe Cornish, Paul Rudd; Michael Douglas; Corey Stoll
000090, Fantastic Four, 2015, Josh Trank, Jeremy Slater; Simon Kinberg, Miles Teller; Kate Mara; Michael B. Jordan
000091, The Hateful Eight, 2015, Quentin Tarantino, Quentin Tarantino, Channing Tatum; Samuel L. Jackson; Kurt Russell
000092, Titanic, 1997, James Cameron, James Cameron, Leonardo DiCaprio; Kate Winslet; Billy Zane
000093, The Avengers, 2012, Joss Whedon, Joss Whedon; Zak Penn, Robert Downey Jr.; Chris Evans; Scarlett Johansson
000094, 99 Homes, 2014, Ramin Bahrani, Ramin Bahrani; Ramin Bahrani, Andrew Garfield; Michael Shannon; Laura Dern
000095, Mi-5, 2015, Bharat Nalluri, Jonathan Brackley; Sam Vincent, Kit Harington; Tuppence Middleton; Jennifer Ehle
000096, Aloha(I), 2015, Cameron Crowe, Cameron Crowe, Bradley Cooper; Rachel McAdams; Emma Stone
000097, Ashby, 2015, Tony McNamara, Tony McNamara, Mickey Rourke; Nat Wolff; Emma Roberts
000098, Inception, 2010, Christopher Nolan, Christopher Nolan, Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page
000099, Whiplash, 2014, Damien Chazelle, Damien Chazelle, Miles Teller; J.K. Simmons; Melissa Benoist
000100, The Wolf of Wall Street, 2013, Martin Scorsese, Terence Winter; Jordan Belfort, Leonardo DiCaprio; Jonah Hill; Margot Robbie
000101, Creed(II), 2015, Ryan Coogler, Ryan Coogler; Aaron Covington, Sylvester Stallone; Michael B. Jordan; Tessa Thompson
000102, Minions, 2015, Kyle Balda; Pierre Coffin, Brian Lynch, Sandra Bullock; Jon Hamm; Michael Keaton
000103, Poltergeist, 2015, Gil Kenan, David Lindsay-Abaire; Steven Spielberg, Sam Rockwell; Rosemarie DeWitt; Kennedi Clements
000104, Cooties, 2014, Jonathan Milott; Cary Murnion, Leigh Whannell; Ian Brennan, Elijah Wood; Rainn Wilson; Alison Pill
000105, A Walk in the Woods, 2015, Ken Kwapis, Rick Kerb; Bill Holderman, Robert Redford; Nick Nolte; Emma Thompson
000106, Harry Potter and the Sorcerer's Stone, 2001, Chris Columbus, J.K. Rowling; Steve Kloves, Daniel Radcliffe; Rupert Grint; Richard Harris
000107, The Departed, 2006, Martin Scorsese, William Monahan; Alan Mak, Leonardo DiCaprio; Matt Damon; Jack Nicholson
000108, The Great Gatsby, 2013, Baz Luhrmann, Baz Luhrmann; Craig Pearce, Leonardo DiCaprio; Carey Mulligan; Joel Edgerton
000109, John Wick, 2014, Chad Stahelski; David Leitch, Derek Kolstad, Keanu Reeves; Michael Nyqvist; Alfie Allen
000110, Air, 2015, Christian Cantamessa, Christian Cantamessa; Chris Pasetto, Norman Reedus; Djimon Hounsou; Sandrine Holt
000111, Warcraft, 2016, Duncan Jones, Duncan Jones; Charles Leavitt, Travis Fimmel; Paula Patton; Ben Foster
000112, Mad Max, 1979, George Miller, James McCausland; George Miller, Mel Gibson; Joanne Samuel; Hugh Keays-Byrne
000113, Insidious: Chapter 3, 2015, Leigh Whannell, Leigh Whannell; Leigh Whannell, Dermot Mulroney; Stefanie Scott; Angus Sampson
000114, The Danish Girl, 2015, Tom Hooper, David Ebershoff; Lucinda Coxon, Amber Heard; Alicia Vikander; Matthias Schoenaerts
000115, Star Wars, 1977, George Lucas, George Lucas, Mark Hamill; Harrison Ford; Carrie Fisher
000116, Ghostbusters, 2016, Paul Feig, Dan Aykroyd; Katie Dippold, Kristen Wiig; Chris Hemsworth; Melissa McCarthy
000117, The Longest Ride, 2015, George Tillman Jr., Nicholas Sparks; Craig Bolotin, Scott Eastwood; Britt Robertson; Alan Alda
000118, The Shining, 1980, Stanley Kubrick, Stephen King; Stanley Kubrick, Jack Nicholson; Shelley Duvall; Danny Lloyd
000119, Regression(I), 2015, Alejandro Amenábar, Alejandro Amenábar, Emma Watson; Ethan Hawke; David Thewlis
000120, Pitch Perfect, 2012, Jason Moore, Kay Cannon; Mickey Rapkin, Anna Kendrick; Brittany Snow; Rebel Wilson
000121, Into the Woods, 2014, Rob Marshall, James Lapine; James Lapine, Anna Kendrick; Meryl Streep; Chris Pine
000122, Under the Skin(I), 2013, Jonathan Glazer, Walter Campbell; Jonathan Glazer, Scarlett Johansson; Jeremy McWilliams; Lynsey Taylor Mackay
000123, The Godfather, 1972, Francis Ford Coppola, Mario Puzo; Francis Ford Coppola, Marlon Brando; Al Pacino; James Caan
000124, Divergent, 2014, Neil Burger, Evan Daugherty; Vanessa Taylor, Shailene Woodley; Theo James; Kate Winslet
000125, Pulp Fiction, 1994, Quentin Tarantino, Quentin Tarantino; Roger Avary, John Travolta; Uma Thurman; Samuel L. Jackson
000126, Freeheld, 2015, Peter Sollett, Ron Nyswaner, Julianne Moore; Ellen Page; Steve Carell
000127, Ted 2, 2015, Seth MacFarlane, Seth MacFarlane; Alec Sulkin, Mark Wahlberg; Seth MacFarlane; Amanda Seyfried
000128, Scouts Guide to the Zombie Apocalypse, 2015, Christopher Landon, Emi Mochizuki; Carrie Lee Wilson, Tye Sheridan; Logan Miller; Joey Morgan
000129, Inglourious Basterds, 2009, Quentin Tarantino; Eli Roth, Quentin Tarantino, Brad Pitt; Diane Kruger; Eli Roth
000130, Krampus(I), 2015, Michael Dougherty, Todd Casey; Michael Dougherty, Toni Collette; Adam Scott; Allison Tolman
000131, Self/less, 2015, Tarsem Singh, David Pastor; Àlex Pastor, Ryan Reynolds; Natalie Martinez; Matthew Goode
000132, Trainwreck, 2015, Judd Apatow, Amy Schumer, Amy Schumer; Bill Hader; Brie Larson
000133, Bridge of Spies, 2015, Steven Spielberg, Matt Charman; Ethan Coen, Tom Hanks; Mark Rylance; Alan Alda
000134, The 5th Wave, 2016, J Blakeson, Susannah Grant; Akiva Goldsman, Chloë Grace Moretz; Liev Schreiber; Nick Robinson
000135, Heist(III), 2015, Scott Mann, Stephen Cyrus Sepher; Stephen Cyrus Sepher, Robert De Niro; Dave Bautista; Mark-Paul Gosselaar
000136, Ich seh, Ich seh, 2014, Severin Fiala; Veronika Franz, Veronika Franz; Severin Fiala, Susanne Wuest; Lukas Schwarz; Elias Schwarz
000137, The Transporter Refueled, 2015, Camille Delamarre, Adam Cooper; Bill Collage, Ed Skrein; Loan Chabanol; Ray Stevenson
000138, Our Brand Is Crisis, 2015, David Gordon Green, Peter Straughan; Rachel Boynton, Sandra Bullock; Zoe Kazan; Billy Bob Thornton
000139, She's Funny That Way, 2014, Peter Bogdanovich, Peter Bogdanovich; Louise Stratten, Imogen Poots; Owen Wilson; Jennifer Aniston
000140, The Gift(VI), 2015, Joel Edgerton, Joel Edgerton, Jason Bateman; Rebecca Hall; Joel Edgerton
000141, Birdman: Or (The Unexpected Virtue of Ignorance), 2014, Alejandro González Iñárritu, Alejandro González Iñárritu; Nicolás Giacobone, Michael Keaton; Zach Galifianakis; Edward Norton
000142, One Flew Over the Cuckoo's Nest, 1975, Milos Forman, Lawrence Hauben; Bo Goldman, Jack Nicholson; Louise Fletcher; Michael Berryman
000143, Stonewall(I), 2015, Roland Emmerich, Jon Robin Baitz, Jeremy Irvine; Jonny Beauchamp; Joey King
000144, Independence Day: Resurgence, 2016, Roland Emmerich, Carter Blanchard; Dean Devlin, Liam Hemsworth; Maika Monroe; Joey King
000145, Miss You Already, 2015, Catherine Hardwicke, Morwenna Banks, Drew Barrymore; Toni Collette; Dominic Cooper
000146, Fight Club, 1999, David Fincher, Chuck Palahniuk; Jim Uhls, Brad Pitt; Edward Norton; Helena Bonham Carter
000147, It Follows, 2014, David Robert Mitchell, David Robert Mitchell, Maika Monroe; Keir Gilchrist; Olivia Luccardi
000148, Cop Car, 2015, Jon Watts, Jon Watts; Christopher D. Ford, Kevin Bacon; James Freedson-Jackson; Hays Wellford
000149, The Imitation Game, 2014, Morten Tyldum, Graham Moore; Andrew Hodges, Benedict Cumberbatch; Keira Knightley; Matthew Goode
000150, Mississippi Grind, 2015, Anna Boden; Ryan Fleck, Anna Boden; Ryan Fleck, Ben Mendelsohn; Ryan Reynolds; Yvonne Landry
000151, Back to the Future, 1985, Robert Zemeckis, Robert Zemeckis; Bob Gale, Michael J. Fox; Christopher Lloyd; Lea Thompson
000152, Point Break, 2015, Ericson Core, Kurt Wimmer; Rick King, Teresa Palmer; Luke Bracey; Édgar Ramírez
000153, Hitman: Agent 47, 2015, Aleksander Bach, Skip Woods; Michael Finch, Rupert Friend; Hannah Ware; Zachary Quinto
000154, American Ultra, 2015, Nima Nourizadeh, Max Landis, Jesse Eisenberg; Kristen Stewart; Connie Britton
000155, Captive(II), 2015, Jerry Jameson, Brian Bird; Ashley Smith, Kate Mara; David Oyelowo; Mimi Rogers
000156, Limitless(I), 2011, Neil Burger, Leslie Dixon; Alan Glynn, Bradley Cooper; Anna Friel; Abbie Cornish
000157, Forrest Gump, 1994, Robert Zemeckis, Winston Groom; Eric Roth, Tom Hanks; Robin Wright; Gary Sinise
000158, Watchmen, 2009, Zack Snyder, David Hayter; Alex Tse, Jackie Earle Haley; Patrick Wilson; Carla Gugino
000159, In the Heart of the Sea, 2015, Ron Howard, Charles Leavitt; Charles Leavitt, Chris Hemsworth; Cillian Murphy; Brendan Gleeson
000160, X-Men: Days of Future Past, 2014, Bryan Singer, Simon Kinberg; Jane Goldman, Patrick Stewart; Ian McKellen; Hugh Jackman
000161, Prisoners, 2013, Denis Villeneuve, Aaron Guzikowski, Hugh Jackman; Jake Gyllenhaal; Viola Davis
000162, Batman Begins, 2005, Christopher Nolan, Bob Kane; David S. Goyer, Christian Bale; Michael Caine; Ken Watanabe
000163, Fury, 2014, David Ayer, David Ayer, Brad Pitt; Shia LaBeouf; Logan Lerman
000164, True Story(I), 2015, Rupert Goold, Rupert Goold; David Kajganich, James Franco; Jonah Hill; Felicity Jones
000165, Snow White and the Huntsman, 2012, Rupert Sanders, Evan Daugherty; John Lee Hancock, Kristen Stewart; Chris Hemsworth; Charlize Theron
000166, Thor: The Dark World, 2013, Alan Taylor, Christopher Yost; Christopher Markus, Chris Hemsworth; Natalie Portman; Tom Hiddleston
000167, No Escape(I), 2015, John Erick Dowdle, John Erick Dowdle; Drew Dowdle, Lake Bell; Pierce Brosnan; Owen Wilson
000168, Grease, 1978, Randal Kleiser, Jim Jacobs; Warren Casey, John Travolta; Olivia Newton-John; Stockard Channing
000169, Hocus Pocus, 1993, Kenny Ortega, David Kirschner; Mick Garris, Bette Midler; Sarah Jessica Parker; Kathy Najimy
000170, The Matrix, 1999, Andy Wachowski; Lana Wachowski, Andy Wachowski; Lana Wachowski, Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss
000171, Captain America: The Winter Soldier, 2014, Anthony Russo; Joe Russo, Christopher Markus; Stephen McFeely, Chris Evans; Samuel L. Jackson; Scarlett Johansson
000172, Nasty Baby, 2015, Sebastián Silva, Sebastián Silva, Kristen Wiig; Alia Shawkat; Mark Margolis
000173, Child 44, 2015, Daniel Espinosa, Richard Price; Tom Rob Smith, Tom Hardy; Gary Oldman; Noomi Rapace
000174, The Lord of the Rings: The Fellowship of the Ring, 2001, Peter Jackson, J.R.R. Tolkien; Fran Walsh, Elijah Wood; Ian McKellen; Orlando Bloom
000175, The Final Girls, 2015, Todd Strauss-Schulson, M.A. Fortin; Joshua John Miller, Taissa Farmiga; Malin Akerman; Adam DeVine
000176, Wild(I), 2014, Jean-Marc Vallée, Nick Hornby; Cheryl Strayed, Reese Witherspoon; Laura Dern; Gaby Hoffmann
000177, Thor, 2011, Kenneth Branagh, Ashley Miller; Zack Stentz, Chris Hemsworth; Anthony Hopkins; Natalie Portman
000178, Home(II), 2015, Tim Johnson, Tom J. Astle; Matt Ember, Jim Parsons; Rihanna; Steve Martin
000179, The Hunger Games, 2012, Gary Ross, Gary Ross; Suzanne Collins, Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth
000180, The Drop, 2014, Michaël R. Roskam, Dennis Lehane; Dennis Lehane, Tom Hardy; Noomi Rapace; James Gandolfini
000181, Focus, 2015, Glenn Ficarra; John Requa, Glenn Ficarra; John Requa, Will Smith; Margot Robbie; Rodrigo Santoro
000182, Alice Through the Looking Glass, 2016, James Bobin, Linda Woolverton, Johnny Depp; Anne Hathaway; Helena Bonham Carter
000183, Edge of Tomorrow, 2014, Doug Liman, Christopher McQuarrie; Jez Butterworth, Tom Cruise; Emily Blunt; Bill Paxton
000184, Alice in Wonderland(I), 2010, Tim Burton, Linda Woolverton; Lewis Carroll, Mia Wasikowska; Johnny Depp; Helena Bonham Carter
000185, Stand by Me, 1986, Rob Reiner, Stephen King; Raynold Gideon, Wil Wheaton; River Phoenix; Corey Feldman
000186, Trainspotting, 1996, Danny Boyle, Irvine Welsh; John Hodge, Ewan McGregor; Ewen Bremner; Jonny Lee Miller
000187, Django Unchained, 2012, Quentin Tarantino, Quentin Tarantino, Jamie Foxx; Christoph Waltz; Leonardo DiCaprio
000188, The Hunger Games: Mockingjay - Part 1, 2014, Francis Lawrence, Peter Craig; Danny Strong, Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth
000189, Finding Dory, 2016, Andrew Stanton; Angus MacLane, Andrew Stanton; Andrew Stanton, Idris Elba; Dominic West; Diane Keaton
000190, Nymphomaniac: Vol. I, 2013, Lars von Trier, Lars von Trier, Charlotte Gainsbourg; Stellan Skarsgård; Stacy Martin
000191, Every Thing Will Be Fine, 2015, Wim Wenders, Bjørn Olaf Johannessen, Rachel McAdams; James Franco; Peter Stormare
000192, Shingeki no kyojin endo obu za wârudo, 2015, Shinji Higuchi, Hajime Isayama; Tomohiro Machiyama, Kiko Mizuhara; Haruma Miura; Kanata Hongô
000193, The Terminator, 1984, James Cameron, James Cameron; Gale Anne Hurd, Arnold Schwarzenegger; Linda Hamilton; Michael Biehn
000194, Far from the Madding Crowd, 2015, Thomas Vinterberg, Thomas Hardy; David Nicholls, Carey Mulligan; Matthias Schoenaerts; Michael Sheen
000195, Saving Private Ryan, 1998, Steven Spielberg, Robert Rodat, Tom Hanks; Matt Damon; Tom Sizemore
000196, Frozen(I), 2013, Chris Buck; Jennifer Lee, Jennifer Lee; Hans Christian Andersen, Kristen Bell; Idina Menzel; Jonathan Groff
000197, SWAT: Unit 887, 2015, Timothy Woodward Jr., Lauren De Normandie, Tom Sizemore; Mischa Barton; Timothy Woodward Jr.
000198, The Theory of Everything, 2014, James Marsh, Anthony McCarten; Jane Hawking, Eddie Redmayne; Felicity Jones; Tom Prior
000199, Big Hero 6, 2014, Don Hall; Chris Williams, Jordan Roberts; Robert L. Baird, Ryan Potter; Scott Adsit; Jamie Chung
000200, Unfriended, 2014, Levan Gabriadze, Nelson Greaves, Heather Sossaman; Matthew Bohrer; Courtney Halverson
000201, Jupiter Ascending, 2015, Andy Wachowski; Lana Wachowski, Andy Wachowski; Lana Wachowski, Channing Tatum; Mila Kunis; Eddie Redmayne
000202, Just Go with It, 2011, Dennis Dugan, Allan Loeb; Timothy Dowling, Adam Sandler; Jennifer Aniston; Brooklyn Decker
000203, The Goonies, 1985, Richard Donner, Steven Spielberg; Chris Columbus, Sean Astin; Josh Brolin; Jeff Cohen
000204, Star Trek, 2009, J.J. Abrams, Roberto Orci; Alex Kurtzman, Chris Pine; Zachary Quinto; Simon Pegg
000205, Dumb and Dumber To, 2014, Bobby Farrelly; Peter Farrelly, Sean Anders; John Morris, Jim Carrey; Jeff Daniels; Rob Riggle
000206, American Sniper, 2014, Clint Eastwood, Jason Hall; Chris Kyle, Bradley Cooper; Sienna Miller; Kyle Gallner
000207, The Princess Bride, 1987, Rob Reiner, William Goldman; William Goldman, Cary Elwes; Mandy Patinkin; Robin Wright
000208, Pacific Rim, 2013, Guillermo del Toro, Travis Beacham; Guillermo del Toro, Idris Elba; Charlie Hunnam; Rinko Kikuchi
